"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"St. Vincent and the Grenadines","VCT","1990","3880000","","","23.8","6.70235956054227","","9.15244137687122","142.991374797041","","2900000.09536743","800000.011920929","","","","","","","","","","","8100000.02942979","2279999.97138977","1000000","","","","22899999.6185303","15369999.8855591","22899999.6185303","15369999.8855591","","","","","","319999.992847443","39999.9991059303","","","","59999.9986588955","59999.9986588955","","","","","","2340000",""
"South Africa","ZAF","1976","","","","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Zimbabwe","ZWE","2011","637480000","384","557","81.4","5.97093892818107","29.4519602089119","7.58368839039404","56.0386161483502","1500000","85790000.9155273","18370000.8392334","","14409999.8474121","670000.016689301","22559999.4659424","","59999.9986588955","","","38580001.8310547","13949999.8092651","632809994.902462","77519996.6430664","186839996.337891","","","","689119995.117188","722580017.089844","689119995.117188","722580017.089844","","569999.992847443","","","1340000.0333786","6849999.90463257","3680000.0667572","3430000.0667572","6090000.15258789","","","4849999.90463257","1320000.05245209","89.8","15","","","86970000","65.579999923706"
"Afghanistan","AFG","2000","120420000","190","1450","128.7","","","","6.54524908337568","","17729999.5422363","209999.993443489","180000.007152557","10170000.0762939","109999.999403954","12569999.6948242","","","","","11500000","5110000.1335144","105239999.111742","12649999.6185303","2420000.07629395","","","","215800003.051758","136009994.506836","215800003.051758","136009994.506836","","","","","","4769999.98092651","750000","5769999.98092651","8770000.45776367","","3359999.89509583","6670000.07629395","","36.9","0.1","","","15590000","92.8699989318847"
"Afghanistan","AFG","1971","6320000","","","294.8","2.37788624299104","44.4400015893758","","3.87261489760393","","280000.001192093","720000.028610229","","19999.9995529652","","","","","","","589999.973773956","","38220000.5631894","250000","22000000","","","","241899993.896484","44439998.626709","241899993.896484","44439998.626709","","","","","","3210000.03814697","","","759999.990463257","","939999.997615814","1620000.00476837","","","","","0.161200001835823","23290000",""
"Albania","ALB","2007","147830000","17","19","17.1","2.81221036442799","8.38755957648927","5.68458191704319","103.91523175888","","50310001.373291","-1600000.02384186","1659999.9666214","6780000.20980835","","5889999.8664856","409999.996423721","","9999.99977648258","","11939999.5803833","7909999.84741211","256530002.3444","6760000.22888184","32119998.9318848","-217358","","","307890014.648438","308630004.882813","307890014.648438","308630004.882813","","600000.023841858","389999.985694885","","100000.001490116","1899999.97615814","349999.994039536","550000.011920929","1409999.9666214","","889999.985694885","","","","0.1","96.1924133300781","0.99686998128891","86250000","54.8799991607666"
"Bermuda","BMU","1974","0","","","","","","","0.56179774025183","","","","","","","","","","","","","","29999.9993294477","29999.9993294477","","","","","150000.005960464","29999.9993294477","150000.005960464","29999.9993294477","","","","","","","","","","","","","","","","","1.03277003765106","30000",""
"Barbados","BRB","1990","1250000","","","18.1","0.115928001174413","0.758981122551513","0.245641027663264","8.73787513035825","","400000.005960464","250000","","850000.023841858","","","","","","","","","1820000.05058944","250000","-1000000","","","","3200000.04768372","2279999.97138977","3200000.04768372","2279999.97138977","","","","","","289999.99165535","9999.99977648258","","","","140000.000596046","","","100","","","0.951020002365112","2130000",""
"Central Europe and the Baltics","CEB","2016","","","9","5.47863357014869","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","97.4461898803711","0.99235","","15.2845248499656"
"Channel Islands","CHI","2011","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.5699998140335"
"China","CHN","1998","350830000","","","41.4","0.242678917363392","0.685804606967174","2.05158856232516","1.97826768938189","6480000.01907349","21729999.5422363","1158150024.41406","1340000.0333786","13180000.3051758","1509999.99046326","11909999.8474121","","59999.9986588955","","","10250000","4320000.17166138","1779800020.94432","55430000.3051758","400000.005960464","","","","3027590087.89063","2456879882.8125","3027590087.89063","2456879882.8125","","","12670000.0762939","","","14380000.1144409","1330000.04291534","2809999.94277954","17500000","","3890000.10490417","10489999.7711182","","87.1","","","","511540000","61.4399986267089"
"Cameroon","CMR","2006","3118090000","303","658","124.1","8.97569945865381","42.2879293026132","34.0834885957879","94.1763832970909","69569999.6948242","43709999.0844727","18770000.4577637","529999.971389771","18959999.0844727","","740000.009536743","50000.0007450581","","","","12859999.6566772","2309999.94277954","1549370012.5441","169600006.103516","13550000.1907349","","","","1871569946.28906","1716239990.23438","1871569946.28906","1716239990.23438","","449999.988079071","2970000.02861023","","439999.997615814","3849999.90463257","2940000.05722046","310000.002384186","3549999.95231628","","1779999.97138977","1789999.96185303","","82","4.7","50.8616790771484","0.828119993209839","178770000","79.0499992370605"
"Cuba","CUB","1973","1930000","","","31.7","0.0529786601523827","0.200506942227841","","0.565432841801203","180000.007152557","","50000.0007450581","","50000.0007450581","","100000.001490116","","","","","1789999.96185303","9999.99977648258","3069999.96118248","","","","","","22440000.5340576","5190000.05722046","22440000.5340576","5190000.05722046","","","","","","1700000.04768372","","","90000.0035762787","","330000.013113022","","","","","66.6103820800781","0.951399981975555","3260000",""
"Cyprus","CYP","1989","21900000","","","11.3","0.898869828764367","2.88987869820893","1.4064084265223","54.2445661279937","","3390000.10490417","109999.999403954","","","","","","","","","","100000.001490116","23880000.1051277","1080000.04291534","19000000","","","","70559997.5585938","40740001.6784668","70559997.5585938","40740001.6784668","","","","","","289999.99165535","9999.99977648258","10050000.1907349","","","490000.009536743","19999.9995529652","","","","78.2171173095703","1.00878000259399","16150000",""
"Dominica","DMA","1965","","","","86.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Denmark","DNK","2008","","6.9","6","4.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","100.970581054688","1.01811003684998","","5.18000003695488"
"East Asia & Pacific (excluding high income)","EAP","2008","","167","98","26.4480480739281","0.140783770778481","0.366169330205949","0.423002972860889","4.35724491625658","45779999.8857081","507309996.958822","86749983.6161733","39210000.8018315","171699997.335672","201319996.580482","157150000.263005","20479999.5012581","40020001.7057359","1530000.06079674","509999.997913837","165719998.292625","67010000.9012967","6823269937.49291","544949991.589412","931759994.853288","","","","8362700039.38675","8444590152.26364","8362700039.38675","8444590152.26364","","5729999.95946884","49200000.0178814","","7839999.91416931","61679999.8488277","41299999.9821186","12709999.7680634","59790000.0214577","0","98340002.2089481","23280000.0309944","","","","97.1243515014648","0.99289","","53.3913975564885"
"Europe & Central Asia (excluding high income)","ECA","1975","","","","","","","","0.253566515788639","2810000.03963709","1059999.94277954","4919999.90493059","","790000.021457672","0","-90000.0035762787","","","","","-310000.002384186","-270000.010728836","48850001.3370067","-2519999.89151955","-23000000","","","","287860008.239746","84040000.9155273","287860008.239746","84040000.9155273","","","","","","5409999.9666214","","19999.9995529652","300000.011920929","","420000.001788139","1049999.95231628","","","","","","",""
"Egypt, Arab Rep.","EGY","2006","677270000","21","50","34.3","0.84203138582012","4.51765139883927","2.14521373386276","11.8249854507645","-1330000.04291534","228470001.220703","-5199999.80926514","119999.997317791","13119999.8855591","9999.99977648258","540000.021457672","19999.9995529652","9999.99977648258","","","1990000.00953674","2849999.90463257","772230008.006097","18770000.4577637","195600006.103516","","","","1020150024.41406","909030029.296875","1020150024.41406","909030029.296875","","1019999.98092651","6199999.80926514","","289999.99165535","1519999.98092651","2859999.89509583","1090000.0333786","3029999.97138977","","2230000.01907349","1100000.02384186","","","0.1","87.3576126098633","","419750000","24.8100004196167"
"Fiji","FJI","1998","13830000","","","23.4","2.30916984207163","7.90102311105099","3.42477760948912","46.10397000261","9999.99977648258","-850000.023841858","19229999.5422363","","59999.9986588955","4409999.84741211","19999.9995529652","","","","","","9999.99977648258","35299999.2165714","","209999.993443489","","","","54919998.1689453","36889999.3896484","54919998.1689453","36889999.3896484","","","","","","389999.985694885","-109999.999403954","","","","1200000.04768372","","","","0.1","103.276962280273","1.02600002288818","25720000","38.2399988174438"
"Gabon","GAB","2013","26230000","546","277","54.6","0.548802167678925","1.69849574357797","1.14250794098939","47.9948483462237","-379999.995231628","6599999.90463257","3720000.02861023","","","","50000.0007450581","","","","","","9999.99977648258","81510000.0407547","","5900000.09536743","","","","81480003.3569336","87209999.0844727","81480003.3569336","87209999.0844727","53765.2410566807","209999.993443489","519999.980926514","141600.534319878","524441.89786911","702579.975128174","871460.974216461","","871871.709823608","","","","1235783.57696533","","3.9","","","35590000","30.300000846386"
"Gabon","GAB","2014","25670000","541","267","52.3","0.644809820041377","1.73949030589103","1.61554529858681","59.0667467758357","-400000.005960464","5690000.05722046","4170000.07629395","","","","100000.001490116","","","","","","9999.99977648258","105149997.750297","-360000.014305115","6940000.05722046","","","","103410003.662109","111269996.643066","103410003.662109","111269996.643066","","180000.007152557","680000.007152557","111000.001430511","483761.101961136","717452.585697174","1069660.18676758","","797918.021678925","","","","1350273.13232422","","3.8","","","34140000","29.7299997806549"
"Georgia","GEO","1985","","","","50.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guinea-Bissau","GNB","1993","34470000","","","207.8","42.6616328896567","129.32409543813","90.9475738455218","90.5962202977484","259999.990463257","4769999.98092651","6510000.22888184","39999.9991059303","4409999.84741211","","","","13829999.9237061","","","12159999.8474121","1389999.98569489","61299999.6952713","90000.0035762787","4000000","","","","135899993.896484","94529998.7792969","135899993.896484","94529998.7792969","","","360000.014305115","","","5079999.92370605","19999.9995529652","1149999.97615814","1990000.00953674","","1480000.01907349","4230000.01907349","","","0.7","","","44140000","82.9700012207031"
"Greece","GRC","1965","","","","39.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Grenada","GRD","2007","7080000","3.3","31","14.6","3.63577339278395","","5.3121606955777","248.043886869436","","1110000.01430511","79999.9982118607","70000.0002980232","","","","9999.99977648258","","","","","70000.0002980232","5720000.01557171","","129999.995231628","-3526","","","26309999.4659424","26090000.1525879","26309999.4659424","26090000.1525879","","","70000.0002980232","","0","79999.9982118607","","","","","189999.997615814","","","100","","105.181861877441","0.981389999389648","780000",""
"IDA & IBRD total","IBT","1998","","","","88.0994399830838","0.639051699528843","2.54493172895438","2.52182178486633","7.50007784350363","372500002.976507","4754460007.28756","7434920007.87519","71310000.3004074","1469450002.79881","54069999.7376651","653199999.788776","","134309999.991208","","","643770001.934841","425089998.826384","31080590018.319","1561700007.19279","3410140003.34777","","4559430023.19336","3172220005.0354","54603100133.8959","40065449698.329","50043670110.7025","36893229693.2936","","","91560000.8014589","","","502660000.160336","169270000.442862","232559998.694807","342519998.418167","","162569999.881089","261649998.657405","","","","78.6379165649414","0.89692","","61.6481926113101"
"IDA total","IDA","2002","","","691","121.435919370013","4.9508167880164","22.6420552214168","17.4420322663384","21.4014620498581","337509995.961562","1925139996.33864","1689579988.25237","54789999.7700006","1076179994.30932","39679999.9643117","476799997.353926","","141599998.299033","","","412999999.104068","240609999.587759","16609179921.2135","1249680001.14709","3083429962.81572","-7824906","","","35315779944.8967","24214390223.0263","35315779944.8967","24214390223.0263","","","95900000.4660338","","","200059999.600053","139449999.148026","318049997.247756","219979998.588562","","138320000.287145","245130000.153556","","","2.60871043836224","","0.83777","","76.2814078370383"
"Indonesia","IDN","2014","721540000","329","199","28.9","-0.0443628032096247","-0.123915983748813","-0.163443590609938","-1.49705202355466","-4780000.20980835","24909999.8474121","-1192209960.9375","150000.005960464","-19069999.6948242","13569999.6948242","37759998.3215332","19999.9995529652","39999.9991059303","","","1870000.00476837","17110000.6103516","-282829961.052164","25840000.1525879","152690002.441406","","","","-422160003.662109","-381940002.441406","-422160003.662109","-381940002.441406","","280000.001192093","8640000.34332275","1130789.99519348","942944.765090942","2588142.15660095","4814828.87268066","","6159729.00390625","","","979229.986667633","4712308.40682983","","0.3","103.451530456543","0.982280015945435","495810000","49.7300004959106"
"Italy","ITA","1999","","","","5.9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","100.713638305664","0.993610024452209","","21.5199990272522"
"Jordan","JOR","1998","277240000","","","28.4","5.32401334858444","23.9756693297741","7.34831211429375","83.7200842767427","209999.993443489","49259998.3215332","43959999.0844727","","1559999.94277954","","1480000.01907349","","","","","1230000.01907349","4070000.17166138","326280003.109947","6659999.84741211","139880004.882813","","","","571030029.296875","413910003.662109","571030029.296875","413910003.662109","","","340000.003576279","","","740000.009536743","150000.005960464","1320000.05245209","1289999.96185303","","1370000.00476837","3099999.90463257","","","0.1","","","62840000","9.18000024557114"
"Japan","JPN","1967","","","","21","","","","","","","","","","","","","","","","","","","","","822703","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japan","JPN","2016","","16","5","2.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","","","","8.55999994277954"
"Cambodia","KHM","2004","181080000","525","378","70.8","7.94379215623535","42.775069196607","10.0412327863691","31.1499458739769","5699999.80926514","11789999.961853","86370002.746582","170000.001788139","8699999.80926514","2990000.00953674","3309999.94277954","","","","","22639999.3896484","3539999.96185303","333079999.854788","17610000.6103516","48139999.3896484","","","","467519989.013672","407019989.013672","467519989.013672","407019989.013672","","","4800000.19073486","","","6260000.22888184","2720000.02861023","","4070000.17166138","","2069999.9332428","3119999.88555908","","","1","77.631462097168","0.876280009746552","154730000","82.3400001525879"
"Liberia","LBR","2003","98970000","256","878","150.1","17.9431996027722","59.9855281846018","","34.7020117545175","230000.004172325","14920000.0762939","","449999.988079071","8979999.54223633","180000.007152557","8979999.54223633","","","","","5139999.8664856","2819999.9332428","85199998.0658293","7630000.11444092","30209999.0844727","","","","138899993.896484","106779998.779297","138899993.896484","106779998.779297","","","","","","1039999.96185303","560000.002384186","5889999.8664856","5389999.8664856","","1950000.04768372","6489999.77111816","","","2.4","","","14860000","80.4200000762939"
"Libya","LBY","1993","280000","","","35.9","","0.0575020052105696","0.0281198291686333","0.603558151160215","","","100000.001490116","","","","","","","","","","","1959999.96550381","","","","","","4010000.22888184","2869999.88555908","4010000.22888184","2869999.88555908","","","","","","","9999.99977648258","1049999.95231628","","","790000.021457672","","","","0.1","","","3770000","27.9500000476837"
"St. Lucia","LCA","2006","4420000","10","82","18.7","1.53524543770391","","2.41198434815968","112.711481512949","","-910000.026226044","1950000.04768372","","","109999.999403954","","","","","","","","1530000.01609326","","50000.0007450581","","","","20340000.1525879","18639999.3896484","20340000.1525879","18639999.3896484","","","-129999.995231628","","0","109999.999403954","","","","","150000.005960464","","","99.2","","106.840873718262","1.00550997257233","4090000","25.5799996852875"
"St. Lucia","LCA","1973","","","","56","","","","0.838683858842791","","","","","","","","","","","","","","","","","","","","409999.996423721","90000.0035762787","409999.996423721","90000.0035762787","","","","","","","","","","","","","","","","","1.03349995613098","",""
"Lower middle income","LMC","2003","","282","389","87.2","1.14684451833898","4.16681005201866","4.22835223382005","8.29835831577727","151149999.44903","1827209985.73303","2952470016.23362","61600000.8918345","647069996.222854","39539999.9115616","354449999.185279","","113889998.2851","","0","433710000.347346","238070000.139996","16183610059.1924","1605260015.23063","2673260029.31036","","436730010.986328","328359985.351563","27000130037.3077","21684289985.6568","26563400026.3214","21355930000.3052","","","87269999.768585","","","139149999.80852","105519999.925047","137060000.032187","170239998.579025","","122780000.090599","143770002.428442","","","","77.922492980957","0.91687","","71.5546041431531"
"Luxembourg","LUX","1982","","","","12.5","","","","","","","","","","","","","","","","","","","","","2552","","","","","","","","","","","","","","","","","","","","","","","0.972230017185211","",""
"Luxembourg","LUX","2010","","6.6","8","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.284553527832","1.02114999294281","","4.9400002360344"
"Maldives","MDV","2009","25270000","35","71","14.9","1.39189823718344","","1.65450026574931","82.316754395522","","3769999.98092651","17989999.7711182","29999.9993294477","","500000","9999.99977648258","","","","","","","22269999.8728931","379999.995231628","-50000.0007450581","","","","26510000.2288818","29090000.1525879","26510000.2288818","29090000.1525879","","","-159999.996423721","","","1289999.96185303","430000.007152557","","970000.028610229","","","","","99.1","","120","","5260000","26.6799993515015"
"North Macedonia","MKD","1983","","","","53.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Malta","MLT","1972","18630000","","","25.2","4.71146822281499","22.2642249250005","7.12023950008767","49.7272275148058","","","","","39999.9991059303","","","","","","","","","14980000.115931","7130000.11444092","7000000","-9682","","","81629997.253418","15039999.961853","81629997.253418","15039999.961853","","","","","","319999.992847443","","170000.001788139","","","9999.99977648258","-439999.997615814","","","","111.604362487793","0.917819976806641","1620000",""
"Malta","MLT","2016","","13","6","7.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","101.805236816406","1.03103995323181","","9.58000026643276"
"Myanmar","MMR","1961","19710000","","","","","","","0.962558939213482","","","13600000.3814697","","","","","","","","","","","19710000.410676","","5000000","","","","214929992.675781","21379999.1607666","214929992.675781","21379999.1607666","","","","","","","","","","","","","","","","","","1670000",""
"Mauritius","MUS","1975","12880000","","","63.1","","","","31.8609866326165","50000.0007450581","1679999.94754791","","","70000.0002980232","9999.99977648258","","","","","","","19999.9995529652","17239999.5420128","3789999.96185303","1000000","","","","104449996.948242","28420000.0762939","104449996.948242","28420000.0762939","","","","","","1460000.03814697","","","439999.997615814","","9999.99977648258","3599999.90463257","","","","","0.94064998626709","5840000",""
"Malawi","MWI","2014","726650000","228","381","58","15.816684769261","","28.0727485443823","57.1630261820941","8300000.19073486","78419998.1689453","42450000.7629395","259999.990463257","","59999.9986588955","84410003.6621094","","","","","2410000.08583069","839999.973773956","587460006.359964","99559997.5585938","181960006.713867","","","","884590026.855469","931159973.144531","884590026.855469","931159973.144531","","270000.010728836","3869999.88555908","422259.986400604","879466.652870178","8701149.94049072","3318385.12420654","","3413664.10255432","","","3580410.00366211","732508.480548859","96.1","9.9","80.002067565918","0.992940008640289","99340000","60.0500011444092"
"Niger","NER","2015","625290000","95","555","94","8.55427072933395","27.734944624752","27.1095910753837","43.4603877336037","17129999.1607666","227199996.948242","27690000.5340576","23639999.3896484","","","11199999.8092651","","","","","5519999.98092651","29729999.5422363","565709997.098893","","111900001.525879","","","","928200012.207031","869280029.296875","928200012.207031","869280029.296875","","154542.431235313","6869327.54516602","497260.004281998","369163.990020752","8164490.69976807","3636995.31555176","","19704092.0257568","548842.489719391","","15900892.2576904","2451141.35742188","","0.3","","0.824790000915527","73350000","94.1399993896485"
"Nigeria","NGA","1971","32880000","","","273.8","1.25762989079071","","","1.86938274330148","39999.9991059303","1460000.03814697","7610000.1335144","","3220000.02861023","","330000.013113022","","","","","39999.9991059303","270000.010728836","90100000.6273388","10100000.3814697","48000000","","","","589349975.585938","107110000.610352","589349975.585938","107110000.610352","","","","","","4519999.98092651","","","4050000.19073486","","800000.011920929","6320000.17166138","","","","","0.615459978580475","31440000",""
"Nicaragua","NIC","2004","1153410000","52","138","31.3","19.718324327489","79.0707072518421","41.2757306653102","205.95050339514","3240000.00953674","61310001.373291","29930000.3051758","6909999.84741211","40840000.1525879","170000.001788139","12550000.1907349","","","","","41099998.4741211","17559999.4659424","917919992.431998","13399999.6185303","69650001.5258789","","","","1272359985.35156","1104910034.17969","1272359985.35156","1104910034.17969","","","1100000.02384186","","","2880000.11444092","1360000.01430511","","839999.973773956","","1820000.05245209","4519999.98092651","","","0.2","75.5140228271484","1.04005002975464","97650000","46.8000011444091"
"Nicaragua","NIC","1981","25240000","","","101.5","4.21694427412201","16.5705876333802","7.69762776201875","28.4868916910961","750000","10170000.0762939","-2660000.08583069","","15829999.9237061","","430000.007152557","","","","","3869999.88555908","800000.011920929","69329999.7597932","140000.000596046","14000000","","","","243119995.117188","95720001.2207031","243119995.117188","95720001.2207031","","","-959999.978542328","","","3579999.92370605","289999.99165535","29999.9993294477","839999.973773956","","620000.004768372","409999.996423721","","","","","","23530000",""
"Panama","PAN","1967","4740000","","","73.3","1.83826964876679","5.94666424043658","","12.1320911732128","9999.99977648258","","9999.99977648258","","","","","","","","","","","15709999.6954202","19999.9995529652","15569999.6948242","-12692","","","100239997.86377","16909999.8474121","100239997.86377","16909999.8474121","","","","","","","","","","","","","","","","","","5260000",""
"West Bank and Gaza","PSE","2013","2457770000","1.1","36","22.1","17.7321173505022","84.8438340546753","37.447602437033","638.341053154899","33540000.9155273","357890014.648438","50060001.373291","5230000.01907349","20219999.3133545","1110000.01430511","107489997.86377","769999.980926514","0","170000.001788139","209999.993443489","61020000.4577637","28440000.5340576","2103049991.915","108629997.253418","958669982.910156","","","","2536479980.46875","2602330078.125","2536479980.46875","2602330078.125","","209999.993443489","629999.995231628","990766.644477844","","2694473.02818298","2072321.89178467","","2481284.85679626","","","6125208.85467529","407098.770141602","","","96.0062026977539","1.0599000453949","149400000","25.6799998283386"
"San Marino","SMR","1996","","","","8.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.01669001579285","",""
"Latin America & the Caribbean (IDA & IBRD countries)","TLA","1967","","","","","","","","","","","","","","","","","","","","","","","","","-1759267","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tonga","TON","1985","5970000","","","25.7","20.301928322691","80.3353298568892","27.3680628998066","135.57552549881","9999.99977648258","769999.980926514","1330000.04291534","","9999.99977648258","2650000.09536743","100000.001490116","","","","","","","11400000.0245869","170000.001788139","","","","","38029998.7792969","12729999.5422363","38029998.7792969","12729999.5422363","","","439999.997615814","","","319999.992847443","109999.999403954","","","","600000.023841858","","","","","96.0307312011719","1.03693997859955","6230000",""
"Trinidad and Tobago","TTO","1984","1470000","","","34.8","0.0686910077399478","","0.171163717142657","4.47586889971885","","540000.021457672","19999.9995529652","","589999.973773956","","","","","","","","59999.9986588955","2020000.01072884","-129999.995231628","","","","","13609999.6566772","5170000.07629395","13609999.6566772","5170000.07629395","","","","","","2710000.03814697","9999.99977648258","","","","430000.007152557","","","","","","1.01663994789124","3600000",""
"Turkey","TUR","1979","52300000","","","134.1","0.65984247700168","4.5001099054105","9.42215734674025","13.5697864680964","6019999.98092651","104629997.253418","4059999.94277954","","4170000.07629395","","10989999.7711182","","","","","129999.995231628","-1000000","563399983.838201","-4849999.90463257","91000000","","","","1463199951.17188","583419982.910156","1463199951.17188","583419982.910156","","","","","","6789999.96185303","","39999.9991059303","370000.004768372","","349999.994039536","3140000.10490417","","","","","0.716350018978119","34550000",""
"Tuvalu","TUV","1992","4560000","","","51.4","","","","884.742087773513","","29999.9993294477","3519999.98092651","","","949999.988079071","","","","","","","","7539999.99351799","430000.007152557","","","","","11869999.8855591","8060000.4196167","11869999.8855591","8060000.4196167","","","","","","340000.003576279","90000.0035762787","","","","59999.9986588955","","","","","","","3510000",""
"Uganda","UGA","1994","320390000","","","167.2","19.1373076637152","128.351417516899","61.5611928533054","37.9906743671143","1919999.95708466","58990001.6784668","48720001.2207031","29999.9993294477","25459999.0844727","90000.0035762787","19290000.9155273","","","","","25379999.1607666","579999.983310699","405920001.147315","51979999.5422363","51000000","","","","1030180053.71094","751969970.703125","1030180053.71094","751969970.703125","","","1980000.01907349","","","7960000.03814697","4480000.01907349","16290000.9155273","16340000.1525879","","1840000.0333786","18420000.0762939","","","9.8","","0.8889399766922","119830000","88.2799987792969"
"Uganda","UGA","1996","336980000","","","162.9","11.2502964038341","55.3472753872841","38.7706098054124","32.0870002759408","1750000","57500000","26899999.6185303","","32630001.0681152","29999.9993294477","21209999.0844727","","","","","32650001.5258789","699999.988079071","428060004.739091","69400001.5258789","29000000","","","","863739990.234375","674880004.882813","863739990.234375","674880004.882813","","","4610000.1335144","","","10479999.5422363","2849999.90463257","24729999.5422363","13000000","","1710000.03814697","7920000.07629395","","","9.3","","","129120000","87.4999980926514"
"Uruguay","URY","2016","12860000","30","18","8.4","0.033439691254609","0.182673315385366","0.113231673621082","5.32980699673699","0","1990000.00953674","2289999.96185303","","","620000.004768372","","","90000.0035762787","","","19999.9995529652","90000.0035762787","7529999.97511507","939999.997615814","490000.009536743","","","","19200000.7629395","18250000","19200000.7629395","18250000","","222792.55092144","-635349.988937378","646369.993686676","1385.49995608628","185725.167393684","599286.198616028","","924604.713916779","","","","","","0.4","104.696189880371","","12120000","23.7299993634224"
"Vanuatu","VUT","2018","64980000","46","","26.6","14.1919612630276","53.4080151187744","26.2716461017463","447.356257540893","","3549999.95231628","13090000.1525879","","","17079999.9237061","","","","","","50000.0007450581","250000","86329998.3274192","9999.99977648258","3619999.88555908","","","","130929992.675781","130929992.675781","130929992.675781","130929992.675781","","46914.9984419346","","39896.8197405338","","42651.928961277","","","","","","","775434.195995331","","","","","30280000","68.1199991703034"
"World","WLD","1966","","","","","0.299428304396223","","","1.89421425224546","67090003.9672852","136929992.675781","234760009.765625","","","","5110000.1335144","","20670000.0762939","","","","9869999.88555908","5651680119.9913","462619995.117188","3434640136.71875","","","","43091808593.75","6425359863.28125","43091808593.75","6425359863.28125","","","","","","","","","","","","","","","","","","",""
