"Country Name","Country Code","Year","average_value_Grants, excluding technical cooperation (BoP, current US$)","average_value_Incidence of tuberculosis (per 100,000 people)","average_value_Maternal mortality ratio (modeled estimate, per 100,000 live births)","average_value_Mortality rate, under-5 (per 1,000 live births)","average_value_Net ODA received (% of GNI)","average_value_Net ODA received (% of gross capital formation)","average_value_Net ODA received (% of imports of goods, services and primary income)","average_value_Net ODA received per capita (current US$)","average_value_Net bilateral aid flows from DAC donors, Belgium (current US$)","average_value_Net bilateral aid flows from DAC donors, European Union institutions (current US$)","average_value_Net bilateral aid flows from DAC donors, Japan (current US$)","average_value_Net bilateral aid flows from DAC donors, Luxembourg (current US$)","average_value_Net bilateral aid flows from DAC donors, Netherlands (current US$)","average_value_Net bilateral aid flows from DAC donors, New Zealand (current US$)","average_value_Net bilateral aid flows from DAC donors, Norway (current US$)","average_value_Net bilateral aid flows from DAC donors, Poland (current US$)","average_value_Net bilateral aid flows from DAC donors, Portugal (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovak Republic (current US$)","average_value_Net bilateral aid flows from DAC donors, Slovenia (current US$)","average_value_Net bilateral aid flows from DAC donors, Sweden (current US$)","average_value_Net bilateral aid flows from DAC donors, Switzerland (current US$)","average_value_Net bilateral aid flows from DAC donors, Total (current US$)","average_value_Net bilateral aid flows from DAC donors, United Kingdom (current US$)","average_value_Net bilateral aid flows from DAC donors, United States (current US$)","average_value_Net migration","average_value_Net official aid received (constant 2018 US$)","average_value_Net official aid received (current US$)","average_value_Net official development assistance and official aid received (constant 2018 US$)","average_value_Net official development assistance and official aid received (current US$)","average_value_Net official development assistance received (constant 2018 US$)","average_value_Net official development assistance received (current US$)","average_value_Net official flows from UN agencies, FAO (current US$)","average_value_Net official flows from UN agencies, IAEA (current US$)","average_value_Net official flows from UN agencies, IFAD (current US$)","average_value_Net official flows from UN agencies, ILO (current US$)","average_value_Net official flows from UN agencies, UNAIDS (current US$)","average_value_Net official flows from UN agencies, UNDP (current US$)","average_value_Net official flows from UN agencies, UNFPA (current US$)","average_value_Net official flows from UN agencies, UNHCR (current US$)","average_value_Net official flows from UN agencies, UNICEF (current US$)","average_value_Net official flows from UN agencies, UNPBF (current US$)","average_value_Net official flows from UN agencies, UNTA (current US$)","average_value_Net official flows from UN agencies, WFP (current US$)","average_value_Net official flows from UN agencies, WHO (current US$)","average_value_Pregnant women receiving prenatal care (%)","average_value_Prevalence of HIV, total (% of population ages 15-49)","average_value_Primary completion rate, total (% of relevant age group)","average_value_School enrollment, primary and secondary (gross), gender parity index (GPI)","average_value_Technical cooperation grants (BoP, current US$)","average_value_Vulnerable employment, total (% of total employment) (modeled ILO estimate)"
"Ghana","GHA","2003","543730000","209","398","88.2","13.1911436545904","56.267433996969","22.6073429295784","47.4711015387022","189999.997615814","71230003.3569336","29750000","50000.0007450581","65809997.5585938","59999.9986588955","610000.014305115","","","","","419999.986886978","7719999.79019165","555040002.416819","123900001.525879","83930000.3051758","","","","1234579956.05469","985039978.027344","1234579956.05469","985039978.027344","","","6300000.19073486","","","3569999.9332428","3980000.01907349","2529999.97138977","3589999.91416931","","2539999.96185303","1059999.94277954","","91.9","2.4","68.1915283203125","0.915970027446747","137550000","80.9400005340576"
"Gibraltar","GIB","1996","0","","","","","","","-8.28443198604011","","","","","","","","","","","","","","-240000.013262034","-330000.013113022","","","","","-310000.002384186","-239999.994635582","-310000.002384186","-239999.994635582","","","","","","","","","","","","","","","","","","300000",""
"Gambia, The","GMB","1995","17640000","","","138.9","5.89515323640967","83.7220273806345","18.9526944747278","40.2542319267323","79999.9982118607","3339999.91416931","2289999.96185303","","1730000.01907349","","449999.988079071","","","","","1110000.01430511","50000.0007450581","28489999.7506291","3619999.88555908","6000000","","","","56509998.3215332","45430000.3051758","56509998.3215332","45430000.3051758","","","769999.980926514","","","1620000.00476837","629999.995231628","790000.021457672","1350000.02384186","","2099999.90463257","-239999.994635582","","","0.6","43.1250991821289","0.703599989414215","21580000","78.4299983978272"
"Gambia, The","GMB","2003","23020000","191","843","98.7","13.6306555362706","129.445214405285","33.7817462054787","43.6505342797229","280000.001192093","3670000.07629395","8859999.65667725","","379999.995231628","19999.9995529652","300000.011920929","","","","","330000.013113022","","23399999.5999038","930000.007152557","3779999.97138977","","","","77779998.7792969","63290000.9155273","77779998.7792969","63290000.9155273","","","839999.973773956","","","2299999.95231628","479999.989271164","540000.021457672","709999.978542328","","1940000.05722046","1169999.95708466","","","1.9","65.8316802978516","","14080000","75.3500003814697"
"Equatorial Guinea","GNQ","1986","7810000","","","184.3","28.8032626372782","","","55.2809563023822","39999.9991059303","1669999.95708466","589999.973773956","","109999.999403954","","","","","","","","140000.000596046","12179999.9549985","","1000000","","","","42279998.7792969","20399999.6185303","42279998.7792969","20399999.6185303","","","","","","2299999.95231628","370000.004768372","","70000.0002980232","","430000.007152557","","","","","","","7630000",""
"Guyana","GUY","1961","4800000","","","88.3","5.41965186987756","21.0472960683064","","15.9178923801846","","","","","","","","","","","","","","9070000.19028782","8050000.19073486","1000000","","","","86370002.746582","9380000.11444092","86370002.746582","9380000.11444092","","","","","","","","","","","","","","","","","","310000",""
"Haiti","HTI","2001","74600000","274","437","100.3","2.67119730832584","33.3651655556101","12.828967131896","19.7506971090426","1399999.97615814","15789999.961853","8550000.19073486","189999.997615814","4809999.94277954","","2079999.92370605","","","","","180000.007152557","2250000","151800000.566989","189999.997615814","81110000.6103516","","","","252679992.675781","170029998.779297","252679992.675781","170029998.779297","","","2009999.99046326","","","2500000","2869999.88555908","","2190000.05722046","","1320000.05245209","4969999.79019165","","","2.8","","","92560000","75.019998550415"
"Haiti","HTI","2010","2913580000","229","506","207","24.7335952974727","97.5166836680877","67.2409675253175","290.456098386908","25180000.3051758","284269989.013672","71980003.3569336","3819999.9332428","19149999.6185303","1440000.05722046","66779998.7792969","150000.005960464","109999.999403954","","419999.986886978","40310001.373291","23020000.4577637","2587290012.14355","26170000.0762939","1077900024.41406","","","","2947500000","2889840087.89063","2947500000","2889840087.89063","","810000.002384186","6039999.96185303","","959999.978542328","10539999.961853","6610000.1335144","","2319999.9332428","2329999.92370605","","2750000","","","2.2","","","187230000","74.5599994659424"
"IBRD only","IBD","1977","","","","","0.502523582240504","1.71115169912863","","2.76547567848576","72669999.025762","141509998.342022","606360009.714962","","314319994.103164","10360000.1763552","34219999.5722622","","","","","209430000.288412","17800000.064075","3558239994.42533","211939998.351037","922000000","-4274006","","","24555409538.7831","7582269951.8893","24555409538.7831","7582269951.8893","","","","","","109119999.609888","26310000.0862032","34880000.0082701","38739999.6276945","","23550000.1814216","195559998.635203","","","","78.5043411254883","0.82183","",""
"IDA only","IDX","2012","","","477","77.5645002516152","5.90795493278157","22.4631582752984","14.486834130542","54.8198388880186","741000004.148111","4356719993.77012","3312060016.15524","131910001.607612","748379991.730675","131950000.267476","979720000.969246","13989999.7077882","114619997.315109","1949999.9769032","1930000.0499934","996829990.746453","660200003.00929","36291070114.5735","3327660014.81935","10027200121.6859","-13680033","","","49806369935.9894","52085800182.3426","49806369935.9894","52085800182.3426","","9499999.94970858","319759998.990223","16368351.4408767","26515771.5510577","267507811.616318","146808135.74791","165707301.12493","413108083.307743","57227684.77723","","245572460.874675","60825203.3479512","","2.34570039635722","70.97705078125","0.92673","","74.0897617186272"
